,Commercial Corporate Bonds,Demand Deposits,Government Securities,Guaranteed Funds,Immovable Property,Offshore Investments,Property Unit Trusts,Quoted Equity,Unquoted Equity,portfolio_mean,portfolio_sharpe_ratios
kmeans_cluster_5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12223577426817232,4.352926872271282
MV_Weight,0.1673209462149426,0.0408296214858664,0.4506893575804349,0.157220185005154,0.0,0.0,0.0960032700304582,0.087936619683144,0.0,0.0948389662051845,4.6456946013387785
GA_Weight,0.16121242565915095,0.03663005463838165,0.2730882719940504,0.11726851885900662,0.13181464314155544,0.1813429939603698,0.08489381078649835,0.010291880664460722,0.00345740029652613,0.06971517287005413,3.3772789301746315
kmeans_cluster_1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11160214542999382,7.111582072912396
svm_Weight_cluster_0,0.16207800244944662,0.0,0.44738926478709723,0.1694910134915339,0.0,0.0,0.09727946033032166,0.1237622589416007,0.0,0.09225349269943145,4.607663348112222
svm_Weight_cluster_2,0.0,0.0,0.0,0.0,0.5024885379103571,0.0795881401484131,0.0,0.0,0.4179233219412297,0.008992204658055185,0.9878232253386175
kmeans_cluster_4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.016618449009954666,1.7028089740829673
kmeans_cluster_2,0.0,0.0,0.0,0.0,0.0,0.2969555020199485,0.0,0.0,0.7030444979800516,0.001822368990651849,0.2892774039145309
kmeans_cluster_0,0.0,0.0,0.0,0.0,0.0,0.0,0.22377933479795023,0.7762206652020498,0.0,0.05015052429761724,2.044639613384443
kmeans_cluster_3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06731717437528835,1.9156322561201127
PSO_Weight,0.10596525909036389,0.037077681473723215,0.1639089993011695,0.1791171903458215,0.023213213673139773,0.06371295616099414,0.09552433663013891,0.10995535664810523,0.22152500667654387,0.05831862196051209,2.540659466009907
