,Period,Demand Deposits,Commercial Corporate Bonds,Guaranteed Funds,Immovable Property,Government Securities,Offshore Investments,Property Unit Trusts,Quoted Equity,Unquoted Equity
0,2013-01-31,0.1466353832903978,0.1035155054234119,0.0936768956915014,0.0166184490099547,0.1085789409577158,0.0,0.0504288793356888,0.0250799845829153,0.0006675649722912
1,2013-02-28,0.1466353832903978,0.1035155054234119,0.0936768956915014,0.0166184490099547,0.1085789409577158,0.0,0.0504288793356888,0.0250799845829153,0.0006675649722912
2,2013-03-31,0.1466353832903978,0.1035155054234119,0.0263437086530886,0.0166184490099547,0.1085789409577158,0.0,0.0504288793356888,0.0250799845829153,0.0006675649722912
3,2013-04-30,0.1466353832903978,0.1035155054234119,0.0263437086530886,0.0166184490099547,0.1085789409577158,0.0,0.0504288793356888,0.0250799845829153,0.0006675649722912
4,2013-05-31,0.1466353832903978,0.1035155054234119,0.0263437086530886,0.0166184490099547,0.1085789409577158,0.0,0.0504288793356888,0.0250799845829153,0.0006675649722912
5,2013-06-30,0.1466353832903978,0.1035155054234119,0.1186686235709965,0.0166184490099547,0.1085789409577158,0.0,0.0504288793356888,0.0250799845829153,0.0006675649722912
6,2013-07-31,0.1466353832903978,0.1035155054234119,0.1186686235709965,0.0166184490099547,0.1085789409577158,0.0,0.0504288793356888,0.0250799845829153,0.0006675649722912
7,2013-08-31,0.1466353832903978,0.1035155054234119,0.1186686235709965,0.0166184490099547,0.1085789409577158,0.0,0.0504288793356888,0.0250799845829153,0.0006675649722912
8,2013-09-30,0.104348133300488,0.0919939129009975,0.1164626336935416,0.0166184490099547,0.0524910211161764,0.0045563766309587,0.0504288793356888,0.0525133399318434,0.0006675649722912
9,2013-10-31,0.104348133300488,0.0919939129009975,0.1164626336935416,0.0166184490099547,0.0524910211161764,0.0045563766309587,0.0504288793356888,0.0525133399318434,0.0006675649722912
10,2013-11-30,0.104348133300488,0.0919939129009975,0.1164626336935416,0.0166184490099547,0.0524910211161764,0.0045563766309587,0.0504288793356888,0.0525133399318434,0.0006675649722912
11,2013-12-31,0.104348133300488,0.0919939129009975,0.1164626336935416,0.0166184490099547,0.0524910211161764,0.0045563766309587,0.0504288793356888,0.0525133399318434,0.0006675649722912
12,2014-01-31,0.1012285585373047,0.0980455501552172,0.0862435115535652,0.0166184490099547,0.1029199344744879,0.0,0.0504288793356888,0.0364977815667532,0.0006675649722912
13,2014-02-28,0.1012285585373047,0.0980455501552172,0.0862435115535652,0.0166184490099547,0.1029199344744879,0.0,0.0504288793356888,0.0364977815667532,0.0006675649722912
14,2014-03-31,0.1012285585373047,0.0669759911161104,0.0728008276684826,0.013866631707317,0.0987599062051649,0.0,0.0504288793356888,0.0364977815667532,0.0006675649722912
15,2014-04-30,0.1337792441426917,0.10,0.0728008276684826,0.013866631707317,0.1008582568107564,0.0268074473194071,0.0504288793356888,0.1054548424046878,0.0006675649722912
16,2014-05-31,0.1337792441426917,0.10,0.0728008276684826,0.013866631707317,0.1008582568107564,0.0268074473194071,0.0504288793356888,0.1054548424046878,0.0006675649722912
17,2014-06-30,0.1337792441426917,0.10,0.0728008276684826,0.0469991892732102,0.1008582568107564,0.0268074473194071,0.0504288793356888,0.1054548424046878,0.0
18,2014-07-31,0.1337792441426917,0.10,0.1230733635020898,0.0469991892732102,0.1008582568107564,0.0268074473194071,0.0504288793356888,0.1054548424046878,0.0
19,2014-08-31,0.1337792441426917,0.10,0.1230733635020898,0.0469991892732102,0.1008582568107564,0.0268074473194071,0.0504288793356888,0.1054548424046878,0.0
20,2014-09-30,0.1429491936692916,0.0939815813639786,0.1012512117035963,0.0469991892732102,0.1071845895328689,0.0102913401509584,0.0504288793356888,0.0581974836270459,0.0
21,2014-10-31,0.1429491936692916,0.0939815813639786,0.1012512117035963,0.0469991892732102,0.1071845895328689,0.0102913401509584,0.0504288793356888,0.0581974836270459,0.0
